action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,month,time_remaining,home_play
Jump Shot,Jump Shot,"(-170.32, -150.4]","(189.8, 223.2]",1,0,2000-01,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,11,153,1
Jump Shot,Jump Shot,"(-10.96, 8.96]","(223.2, 256.6]",2,0,2000-01,22,1.0,3PT Field Goal,Center(C),Mid-Range,16-24 ft.,LAC,11,686,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,11,520,1
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,11,245,1
Jump Shot,Jump Shot,"(-50.8, -30.88]","(89.6, 123.0]",2,0,2000-01,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,11,122,1
Layup Shot,Layup,"(8.96, 28.88]","(22.8, 56.2]",2,0,2000-01,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,11,47,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,11,572,1
Driving Layup Shot,Layup,"(48.8, 68.72]","(-10.6, 22.8]",3,0,2000-01,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,11,37,1
Running Jump Shot,Jump Shot,"(108.56, 128.48]","(22.8, 56.2]",3,0,2000-01,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,LAC,11,1,1
Jump Shot,Jump Shot,"(228.08, 248.0]","(56.2, 89.6]",1,0,2000-01,23,0.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,HOU,11,497,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,473,0
Driving Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,421,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(256.6, 290.0]",1,0,2000-01,25,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,HOU,11,191,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,476,0
Jump Shot,Jump Shot,"(48.8, 68.72]","(56.2, 89.6]",2,0,2000-01,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,11,160,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(189.8, 223.2]",2,0,2000-01,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,HOU,11,10,0
Jump Shot,Jump Shot,"(-130.48, -110.56]","(189.8, 223.2]",3,0,2000-01,22,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,11,662,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",3,0,2000-01,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,11,550,0
Jump Shot,Jump Shot,"(-90.64, -70.72]","(89.6, 123.0]",3,0,2000-01,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,11,444,0
Jump Shot,Jump Shot,"(-90.64, -70.72]","(22.8, 56.2]",3,0,2000-01,8,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,HOU,11,1,0
Jump Shot,Jump Shot,"(28.88, 48.8]","(123.0, 156.4]",4,0,2000-01,13,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,HOU,11,301,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(123.0, 156.4]",4,0,2000-01,15,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,HOU,11,46,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(189.8, 223.2]",1,0,2000-01,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,SAS,11,701,0
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,11,659,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(123.0, 156.4]",1,0,2000-01,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAS,11,396,0
Jump Shot,Jump Shot,"(-30.88, -10.96]","(156.4, 189.8]",1,0,2000-01,19,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,SAS,11,354,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(56.2, 89.6]",1,0,2000-01,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,11,144,0
Turnaround Jump Shot,Jump Shot,"(128.48, 148.4]","(-10.6, 22.8]",1,0,2000-01,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,11,108,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(123.0, 156.4]",1,0,2000-01,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,SAS,11,85,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-10.6, 22.8]",1,0,2000-01,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SAS,11,47,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(56.2, 89.6]",2,0,2000-01,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,11,657,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(56.2, 89.6]",2,0,2000-01,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,11,577,0
Jump Shot,Jump Shot,"(-70.72, -50.8]","(223.2, 256.6]",2,0,2000-01,25,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,SAS,11,230,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(156.4, 189.8]",2,0,2000-01,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,11,195,0
Jump Shot,Jump Shot,"(-210.16, -190.24]","(123.0, 156.4]",2,0,2000-01,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SAS,11,53,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(-10.6, 22.8]",2,0,2000-01,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,11,48,0
Jump Shot,Jump Shot,"(28.88, 48.8]","(-10.6, 22.8]",3,0,2000-01,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,11,686,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(123.0, 156.4]",3,0,2000-01,15,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,SAS,11,560,0
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,11,473,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(123.0, 156.4]",3,0,2000-01,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAS,11,400,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(-10.6, 22.8]",3,0,2000-01,12,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,11,180,0
Jump Shot,Jump Shot,"(-210.16, -190.24]","(22.8, 56.2]",3,0,2000-01,19,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,11,48,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(22.8, 56.2]",3,0,2000-01,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,11,21,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(89.6, 123.0]",4,0,2000-01,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAS,11,639,0
Jump Shot,Jump Shot,"(-70.72, -50.8]","(123.0, 156.4]",4,0,2000-01,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,11,428,0
Turnaround Jump Shot,Jump Shot,"(-170.32, -150.4]","(22.8, 56.2]",4,0,2000-01,16,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,11,385,0
Jump Shot,Jump Shot,"(-70.72, -50.8]","(56.2, 89.6]",4,0,2000-01,9,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,SAS,11,314,0
Jump Shot,Jump Shot,"(-50.8, -30.88]","(56.2, 89.6]",4,0,2000-01,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,11,218,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(156.4, 189.8]",1,0,2000-01,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,11,669,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,617,1
Reverse Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,563,1
Tip Shot,Tip Shot,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,561,1
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,182,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,44,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(123.0, 156.4]",1,0,2000-01,16,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,HOU,11,21,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(156.4, 189.8]",2,0,2000-01,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,11,530,1
Driving Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,498,1
Running Hook Shot,Hook Shot,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,30,1
Jump Shot,Jump Shot,"(-10.96, 8.96]","(256.6, 290.0]",2,0,2000-01,27,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,HOU,11,4,1
Jump Shot,Jump Shot,"(148.4, 168.32]","(-10.6, 22.8]",3,0,2000-01,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,HOU,11,518,1
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-10.6, 22.8]",3,0,2000-01,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,11,318,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(123.0, 156.4]",3,0,2000-01,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,11,274,1
Jump Shot,Jump Shot,"(-190.24, -170.32]","(-10.6, 22.8]",3,0,2000-01,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,HOU,11,231,1
Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",3,0,2000-01,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,HOU,11,220,1
Jump Shot,Jump Shot,"(-50.8, -30.88]","(89.6, 123.0]",3,0,2000-01,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,HOU,11,213,1
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-10.6, 22.8]",3,0,2000-01,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,HOU,11,125,1
Jump Shot,Jump Shot,"(-130.48, -110.56]","(123.0, 156.4]",3,0,2000-01,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,11,14,1
Jump Shot,Jump Shot,"(8.96, 28.88]","(22.8, 56.2]",4,0,2000-01,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,11,652,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(56.2, 89.6]",4,0,2000-01,11,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,11,394,1
Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",4,0,2000-01,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,11,297,1
Driving Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,208,1
Running Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",4,0,2000-01,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,11,98,1
Tip Shot,Tip Shot,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,11,63,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,11,463,1
Alley Oop Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,11,188,1
Jump Shot,Jump Shot,"(128.48, 148.4]","(-10.6, 22.8]",1,0,2000-01,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DEN,11,145,1
Jump Shot,Jump Shot,"(-110.56, -90.64]","(89.6, 123.0]",1,0,2000-01,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DEN,11,48,1
Jump Shot,Jump Shot,"(148.4, 168.32]","(56.2, 89.6]",2,0,2000-01,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,11,676,1
Jump Shot,Jump Shot,"(88.64, 108.56]","(223.2, 256.6]",2,0,2000-01,27,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,11,619,1
Running Jump Shot,Jump Shot,"(88.64, 108.56]","(156.4, 189.8]",2,0,2000-01,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,11,547,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,11,114,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,11,28,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(156.4, 189.8]",3,0,2000-01,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,11,623,1
Jump Shot,Jump Shot,"(-10.96, 8.96]","(56.2, 89.6]",3,0,2000-01,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DEN,11,323,1
Driving Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,11,37,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(223.2, 256.6]",4,0,2000-01,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,11,703,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,11,628,1
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,11,611,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,11,337,1
Jump Shot,Jump Shot,"(88.64, 108.56]","(189.8, 223.2]",1,0,2000-01,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAC,11,702,0
Jump Shot,Jump Shot,"(-130.48, -110.56]","(156.4, 189.8]",1,0,2000-01,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAC,11,667,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-10.6, 22.8]",1,0,2000-01,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAC,11,533,0
Jump Shot,Jump Shot,"(68.72, 88.64]","(22.8, 56.2]",1,0,2000-01,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAC,11,496,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAC,11,463,0
Jump Shot,Jump Shot,"(-50.8, -30.88]","(22.8, 56.2]",1,0,2000-01,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAC,11,167,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(89.6, 123.0]",1,0,2000-01,20,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,SAC,11,65,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(156.4, 189.8]",2,0,2000-01,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAC,11,493,0
Jump Shot,Jump Shot,"(168.32, 188.24]","(-10.6, 22.8]",2,0,2000-01,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,SAC,11,387,0
Jump Shot,Jump Shot,"(88.64, 108.56]","(123.0, 156.4]",2,0,2000-01,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAC,11,52,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(89.6, 123.0]",2,0,2000-01,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,SAC,11,19,0
Jump Shot,Jump Shot,"(28.88, 48.8]","(457.0, 490.4]",2,0,2000-01,47,0.0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,SAC,11,0,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(123.0, 156.4]",3,0,2000-01,13,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAC,11,532,0
